4P_Order,Order_date,Shipping_date,Shipping_revenues,Shipping_cost,Carrier Class,TRK,weight,zip,order_total,Ins
43945,2019-08-01,2019-08-01,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97085716,1,6002,56.94,50
43946,2019-08-01,2019-08-01,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,1,15227,23.9,20
43947,2019-08-01,2019-08-01,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0,87108,25.9,22
43948,2019-08-01,2019-08-01,11.94,11.6,UPS/UPS Ground,1Z1A1V710395213669,1.06,66202,50.94,39
43949,2019-08-01,2019-08-01,16.95,11.77,UPS/UPS Ground,1Z1A1V710395364649,2.5,14202,197.95,181
43950,2019-08-01,2019-08-01,11.71,11.59,UPS/UPS Ground,1Z1A1V710390357068,1,45213,50.71,39
43951,2019-08-01,2019-08-01,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.06,69341,23.7,22
43952,2019-08-01,2019-08-01,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.31,84104,22.9,19
43954,2019-08-01,2019-08-01,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,98112,32.9,29
43955,2019-08-01,2019-08-01,16.7,11.6,UPS/UPS Ground,1Z1A1V710398347180,0.5,70116,61.7,45
43956,2019-08-01,2019-08-01,13.09,12,UPS/UPS Ground,1Z1A1V710396624562,1.69,97030,63.09,60
43958,2019-08-01,2019-08-01,27.58,19.15,UPS/UPS Next Day Air,1Z1A1V710193592338,1.25,30083,139.95,102
43960,2019-08-01,2019-08-01,21.82,15.15,UPS/UPS 3 Day Select,1Z1A1V711296586846,0.75,30083,157.49,124
43964,2019-08-01,2019-08-01,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW92621163,1.69,28401,201.71,190
43965,2019-08-01,2019-08-01,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW93142741,1.69,28401,181.71,170
43977,2019-08-01,2019-08-01,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97418482,1,11206,145.94,134
43978,2019-08-01,2019-08-01,10.41,7.23,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95799477,1,33707,94.56,99
44062,2019-08-02,2019-08-02,47.22,32.79,UPS/UPS Next Day Air,1Z1A1V710197094753,1,46041,106.22,59
44123,2019-08-02,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0,10030,55.9,52
43976,2019-08-01,2019-08-02,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW98048773,1.31,15228,61.71,50
43979,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,80914,56.9,53
43980,2019-08-01,2019-08-02,17.28,12,UPS/UPS Ground,1Z1A1V710396440055,1,94561,131.28,114
43981,2019-08-01,2019-08-02,22.71,15.77,UPS/UPS 2nd Day Air,1Z1A1V710299111246,3.5,60651,177.71,155
43983,2019-08-01,2019-08-02,0,11.59,UPS/UPS Ground,1Z1A1V710391701577,0.94,92582,0,0
43984,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.38,43202,14.9,11
43985,2019-08-01,2019-08-02,22.71,15.77,UPS/UPS 2nd Day Air,1Z1A1V710295585831,1.44,36603,57.71,35
43986,2019-08-01,2019-08-02,12.12,8.42,UPS/UPS Ground,1Z1A1V710390877569,0.75,21075,131.12,119
43988,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.19,53705,17.9,14
43989,2019-08-01,2019-08-02,0,11.59,UPS/UPS Ground,1Z1A1V710392583140,0.31,66213,0,0
43990,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.25,40241,29.9,26
43991,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,92603,62.9,59
43992,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0,28083,20.9,17
43993,2019-08-01,2019-08-02,24.15,11.88,UPS/UPS 2nd Day Air,1Z1A1V710298580312,3,6902,191.15,167
43994,2019-08-01,2019-08-02,16.69,11.59,UPS/UPS Ground,1Z1A1V710397206888,2,15217,150.69,134
43995,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0,20010,19.9,16
43996,2019-08-01,2019-08-02,16.7,11.6,UPS/UPS Ground,1Z1A1V710397411870,0.81,33556,164.7,148
43997,2019-08-01,2019-08-02,12.87,8.94,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW93133528,1.44,85013,180.87,168
43998,2019-08-01,2019-08-02,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97922114,1.25,17601,136.94,125
43999,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92613000000000000000000000,1.06,68028,93.9,90
44000,2019-08-01,2019-08-02,16.95,11.77,UPS/UPS Ground,1Z1A1V710399149786,2.38,75206,255.95,239
