4P_Order,Order_date,Shipping_date,Shipping_revenues,Shipping_cost,Carrier Class,TRK,weight,zip,order_total,Ins
49426,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,2144,26.88,22.98
49427,2019-08-20,2019-08-20,10.97,7.62,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99309079,1.63,32304,100.91,89.94
49428,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,78757,25.88,21.98
49429,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.13,80113,14.89,10.99
49430,2019-08-20,2019-08-20,13.52,9.53,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96937422,1.81,35016,75.47,61.95
49483,2019-08-20,2019-08-20,16.69,11.59,UPS/UPS Ground,1Z1A1V710397610520,0.88,90046,74.66,57.97
49431,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.38,2657,12.89,8.99
49432,2019-08-20,2019-08-20,0,11.59,UPS/UPS Ground,1Z1A1V710397181655,0.69,19143,0,0
49453,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.25,34986,14.89,10.99
49433,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.38,33437,30.88,26.98
49434,2019-08-20,2019-08-20,47.65,33.09,UPS/UPS Next Day Air,1Z1A1V710191131679,1.81,17224,89.65,42
49435,2019-08-20,2019-08-20,12.87,8.94,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW90667716,1.25,84015,60.85,47.98
49436,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.38,33334,22.88,18.98
49438,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,27406,35.87,31.97
49439,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.38,77007,14.89,10.99
49440,2019-08-20,2019-08-20,12.87,8.94,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95086559,3.44,60657,100.85,87.98
49443,2019-08-20,2019-08-20,18.88,13.11,UPS/UPS Ground,1Z1A1V710394115660,3.69,85008,153.82,149.93
49441,2019-08-20,2019-08-20,11.71,6.87,UPS/UPS SurePost Less than 1 lb,1Z1A1V71YN91166834,0.75,70598,39.67,27.96
49442,2019-08-20,2019-08-20,0,11.6,UPS/UPS Ground,1Z1A1V710391043618,1,80923,0,0
49444,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.13,29486,12.89,8.99
49445,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.25,33309,13.89,9.99
49446,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,28303,35.9,32
49447,2019-08-20,2019-08-20,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW94957299,1.13,33125,61.65,49.94
49448,2019-08-20,2019-08-20,0,11.6,UPS/UPS Ground,1Z1A1V710391294900,0.63,61820,0,0
49449,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,30318,49.53,41.96
49450,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,33309,38.9,35
49451,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.13,20011,18.89,14.99
49452,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.31,15237,22.88,18.98
49454,2019-08-20,2019-08-20,17.28,12,UPS/UPS Ground,1Z1A1V710399404320,1.75,90027,72.28,55
49455,2019-08-20,2019-08-20,16.7,11.59,UPS/UPS Ground,1Z1A1V710398584692,1,10039,87.7,71
49456,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.38,60045,22.88,18.98
49470,2019-08-20,2019-08-20,12.28,8.53,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95639434,2.13,21206,193.26,180.98
49457,2019-08-20,2019-08-20,16.7,11.6,UPS/UPS Ground,1Z1A1V710391342803,0.5,60657,46.69,29.99
49458,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,95765,33.89,29.99
49459,2019-08-20,2019-08-20,46.28,13.71,UPS/UPS Ground,1Z1A1V710392878859,13.13,10039,234.25,187.97
49460,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.38,11201,12.89,8.99
49461,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,75214,25.89,21.99
49462,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,91602,43.89,39.99
49463,2019-08-20,2019-08-20,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97425910,1.25,34787,79.67,67.96
49464,2019-08-20,2019-08-20,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96747744,1.13,32801,100.68,88.97
49465,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.25,29388,13.89,9.99
49466,2019-08-20,2019-08-20,14.31,9.94,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96266504,2.19,91709,137.28,122.97
49467,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.31,93003,8.89,4.99
49469,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.19,75146,12.89,8.99
49471,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.19,81612,12.89,8.99
49472,2019-08-20,2019-08-20,16.69,11.59,UPS/UPS Ground,1Z1A1V710399144763,1.44,46307,68.88,57.99
49473,2019-08-20,2019-08-20,16.69,11.59,UPS/UPS Ground,1Z1A1V710398612339,2.06,32927,129.66,112.97
49474,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.25,87505,13.89,9.99
49475,2019-08-20,2019-08-20,16.69,11.59,UPS/UPS Ground,1Z1A1V710394557246,0.94,50322,76.66,59.97
49476,2019-08-20,2019-08-20,12.28,8.53,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW98686815,3,70117,207.23,194.95
49477,2019-08-20,2019-08-20,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97283387,1.25,45248,67.67,55.96
49478,2019-08-20,2019-08-20,16.88,11.14,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW93270880,2,81620,72.83,55.95
49479,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,48124,65.88,61.98
49480,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,10701,17.89,13.99
49481,2019-08-20,2019-08-20,18.14,11.92,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96995799,2.5,93921,128.06,109.92
49482,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.31,70806,25.48,23.98
49484,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,10701,11.89,7.99
49485,2019-08-20,2019-08-20,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95881476,1.19,10028,97.93,85.99
49486,2019-08-20,2019-08-20,13.77,9.56,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW98828840,3.56,80203,119.71,105.94
49487,2019-08-20,2019-08-20,37.4,25.97,UPS/UPS Next Day Air,1Z1A1V710196746890,0.44,63021,79.4,42
49489,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,67801,33.87,29.97
49490,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.13,92551,18.89,14.99
49491,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.31,22031,22.88,18.98
49492,2019-08-20,2019-08-20,11.49,9.09,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW98817585,1.81,90066,67.44,55.95
49493,2019-08-20,2019-08-20,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW94597393,2,60626,83.68,71.97
49494,2019-08-20,2019-08-20,15.74,10.93,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW93518989,1.06,84078,84.72,68.98
49495,2019-08-20,2019-08-20,12.28,8.53,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95216757,2.13,32806,60.25,47.97
49496,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,75007,24.88,20.98
49497,2019-08-20,2019-08-20,17.28,12,UPS/UPS Ground,1Z1A1V710393054933,1.44,90026,82.28,65
49498,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.25,10465,13.89,9.99
49499,2019-08-20,2019-08-20,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99406535,1.75,34714,49.67,37.96
49500,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,38852,46.89,42.99
49501,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.13,32608,18.89,14.99
49502,2019-08-20,2019-08-20,15.57,10.81,UPS/UPS 2nd Day Air,1Z1A1V710293699767,2.13,33191,129.57,114
49503,2019-08-20,2019-08-20,12.87,8.53,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96624573,2.75,63116,104.79,91.92
49504,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,97215,35.88,31.98
49505,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.19,8822,12.89,8.99
49506,2019-08-20,2019-08-20,16.69,11.59,UPS/UPS Ground,1Z1A1V710394590950,2.44,33907,192.65,175.96
49507,2019-08-20,2019-08-20,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW90637347,1.31,55437,63.93,51.99
49508,2019-08-20,2019-08-20,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW92627774,1.25,70810,80.63,68.92
49509,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.25,45212,13.89,9.99
49510,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.13,48188,13.89,9.99
49511,2019-08-20,2019-08-20,16.37,11.37,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95622960,5.5,97215,109.28,92.91
49512,2019-08-20,2019-08-20,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,2889,68.9,65
49613,2019-08-20,2019-08-21,16.7,11.6,UPS/UPS Ground,1Z1A1V710391236160,0.5,21201,21.69,29.99
49750,2019-08-21,2019-08-21,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99554385,1.56,49684,49.92,47.98
49775,2019-08-21,2019-08-21,12.28,8.53,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW92652424,2.25,60626,95.07,91.99
49036,2019-08-18,2019-08-21,16.69,11.59,UPS/UPS Ground,1Z1A1V710397174083,0.75,1752,21.68,0
49804,2019-08-21,2019-08-21,29.74,20.64,UPS/UPS Ground,1Z1A1V710399832653,44,70065,424.73,394.99
49539,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,2062,25.89,21.99
49582,2019-08-20,2019-08-21,13.69,9.51,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97782310,5.56,22192,197.25,203.96
49488,2019-08-20,2019-08-21,11.71,6.87,UPS/UPS SurePost Less than 1 lb,1Z1A1V71YN99554178,0.81,32796,72.67,60.96
49513,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.13,46151,12.89,8.99
49514,2019-08-20,2019-08-21,0,11.86,UPS/UPS Ground,1Z1A1V710391060019,1.63,85719,0,0
49515,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,98112,58.89,54.99
49516,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.25,48220,33.88,29.98
49517,2019-08-20,2019-08-21,10.84,7.15,UPS/UPS SurePost Less than 1 lb,1Z1A1V71YN92175180,0.75,10466,56.79,45.95
49518,2019-08-20,2019-08-21,16.69,11.59,UPS/UPS Ground,1Z1A1V710394357499,0.56,1752,75.69,59
49519,2019-08-20,2019-08-21,14.79,10.27,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99524112,1.44,78610,69.79,55
49522,2019-08-20,2019-08-21,14.6,10.14,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96757153,1.31,28698,86.52,71.92
49523,2019-08-20,2019-08-21,0,12,UPS/UPS Ground,1Z1A1V710390268020,1.38,95829,0,0
49524,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,85254,49.87,45.97
49525,2019-08-20,2019-08-21,0,11.59,UPS/UPS Ground,1Z1A1V710399151291,1.38,46614,0,0
49526,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,76537,33.89,29.99
49527,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.25,32221,26.97,23.07
49528,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,30084,21.48,15.99
49529,2019-08-20,2019-08-21,12.41,8.62,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96147839,1.06,80205,63.39,50.98
49530,2019-08-20,2019-08-21,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW93487085,1.44,60107,64.81,59
49531,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,14609,23.88,19.98
49532,2019-08-20,2019-08-21,12.12,8.42,UPS/UPS Ground,1Z1A1V710395194681,1.75,28801,111.07,98.95
49533,2019-08-20,2019-08-21,18.55,12.88,UPS/UPS Ground,1Z1A1V710397011043,2.13,94112,143.61,125.06
49534,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.19,33785,11.99,8.09
49535,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.56,33140,32.97,29.07
49536,2019-08-20,2019-08-21,37.4,25.97,UPS/UPS Next Day Air,1Z1A1V710192823054,0.25,33309,81.4,44
49537,2019-08-20,2019-08-21,11.49,7.58,UPS/UPS SurePost Less than 1 lb,1Z1A1V71YN99269094,0.88,92104,59.67,48.18
49540,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.19,52302,11.99,8.09
49538,2019-08-20,2019-08-21,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW91443876,1.25,55906,84.01,72.07
49541,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.06,14607,23.9,20
49542,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.31,33140,20.88,16.98
49543,2019-08-20,2019-08-21,12.57,8.52,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW98469827,5.25,31401,274.99,268.94
49544,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,36104,13.89,9.99
49545,2019-08-20,2019-08-21,21.67,15.05,UPS/UPS 3 Day Select,1Z1A1V711298311781,2.06,33647,138.63,116.96
49546,2019-08-20,2019-08-21,14.56,10.11,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW98106950,1.44,62568,69.61,55.05
49547,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,54020,23.88,19.98
49657,2019-08-21,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.69,84404,37.88,33.98
49548,2019-08-20,2019-08-21,22.55,15.66,UPS/UPS 2nd Day Air,1Z1A1V710291675910,1,14624,74.64,52.09
49552,2019-08-20,2019-08-21,51.96,24.86,UPS/UPS Ground,1Z1A1V710393237594,47,78046,425.44,414.98
49549,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.19,72202,11.99,8.09
49550,2019-08-20,2019-08-21,12.12,8.42,UPS/UPS Ground,1Z1A1V710391575151,0.69,94103,75.3,63.18
49551,2019-08-20,2019-08-21,12.87,8.94,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW98792003,1.13,85750,67.94,55.07
49553,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.13,72202,13.89,9.99
49554,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,61072,32.97,29.07
49556,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.25,28314,33.88,29.98
49557,2019-08-20,2019-08-21,14.79,10.27,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99883216,1.5,2743,49.77,34.98
49558,2019-08-20,2019-08-21,126.52,103.61,UPS/UPS Ground,1Z1A1V710390237698,63,92264,1025.56,299.68
49560,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,94132,57.96,54.06
49561,2019-08-20,2019-08-21,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW94837445,1.19,3079,97.93,85.99
49562,2019-08-20,2019-08-21,11.49,7.98,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW90627965,1,94560,75.45,63.96
49563,2019-08-20,2019-08-21,16.69,11.59,UPS/UPS Ground,1Z1A1V710399040197,0.94,38301,43.67,26.98
49564,2019-08-20,2019-08-21,18.81,13.06,UPS/UPS Ground,1Z1A1V710393597642,4.81,87112,203.81,185
49565,2019-08-20,2019-08-21,15.34,10.65,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97172069,1.19,26170,101.33,85.99
49566,2019-08-20,2019-08-21,17.08,11.86,UPS/UPS Ground,1Z1A1V710396890266,1.69,89109,115.06,97.98
49567,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.38,27265,50.88,46.98
49570,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.69,80224,50.88,46.98
49571,2019-08-20,2019-08-21,18.56,12.89,UPS/UPS Ground,1Z1A1V710399221410,6.25,7644,193.44,174.88
49572,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,60613,83,79.1
49573,2019-08-20,2019-08-21,13.44,8.87,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW91157542,2.81,78717,70.42,56.98
49574,2019-08-20,2019-08-21,14.64,10.17,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96117102,3.5,85323,164.62,149.98
49575,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,19107,21.88,17.98
49576,2019-08-20,2019-08-21,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97376723,1.19,12866,129.92,117.98
49577,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.13,95613,18.89,14.99
49578,2019-08-20,2019-08-21,12.28,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99168883,1.94,20746,67.23,54.95
49579,2019-08-20,2019-08-21,15.4,11.77,UPS/UPS Ground,1Z1A1V710398664248,2.06,12866,92.41,77.01
49580,2019-08-20,2019-08-21,40.19,27.91,UPS/UPS Next Day Air,1Z1A1V710193759104,1.19,45231,90.19,50
49581,2019-08-20,2019-08-21,10.84,7.53,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95913637,1,75215,109.84,99
49583,2019-08-20,2019-08-21,15.57,10.81,UPS/UPS 3 Day Select,1Z1A1V711297059360,6.69,70115,248.52,232.95
49584,2019-08-20,2019-08-21,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96874937,1.88,20011,66.75,55.04
49585,2019-08-20,2019-08-21,10.97,7.62,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95996978,1.44,32606,83.94,72.97
49586,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,35244,19.98,16.08
49587,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.19,14216,11.99,8.09
49588,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.19,94086,28.9,25
49589,2019-08-20,2019-08-21,18.55,12.88,UPS/UPS Ground,1Z1A1V710392036071,2.75,90068,260.48,241.93
49590,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.38,64138,36.28,35.98
49591,2019-08-20,2019-08-21,13.69,9.51,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99334345,5.13,20017,117.25,103.56
49592,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,63116,48,44.1
49593,2019-08-20,2019-08-21,14,9.72,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95693876,5,10011,160.64,146.64
49594,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,48236,48,44.1
49595,2019-08-20,2019-08-21,22.31,15.49,UPS/UPS Ground,1Z1A1V710391579979,1.38,62966,82.45,60.14
49596,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,48236,11.89,7.99
49597,2019-08-20,2019-08-21,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW94271207,1.25,11238,27.92,15.98
49598,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,75230,61.97,58.07
49599,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.19,45040,11.99,8.09
49751,2019-08-21,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,19147,48,44.1
49600,2019-08-20,2019-08-21,13.44,9.33,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95602393,3.94,8108,188.39,174.95
49602,2019-08-20,2019-08-21,12.41,9.2,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95112145,2.06,4901,48.4,39.99
49603,2019-08-20,2019-08-21,17.63,11.77,UPS/UPS Ground,1Z1A1V710395553248,2.5,74105,90.21,72.58
49604,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,52302,25.89,21.99
49605,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.31,91401,23.88,19.98
49606,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,95070,23.69,21.99
49607,2019-08-20,2019-08-21,13.44,9.33,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97261169,3.06,2144,158.42,144.98
49608,2019-08-20,2019-08-21,18.55,13.58,UPS/UPS Ground,1Z1A1V710396160732,3.06,98312,190.51,171.96
49609,2019-08-20,2019-08-21,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW98406902,1.25,7075,56.92,44.98
49612,2019-08-20,2019-08-21,17.63,12.24,UPS/UPS Ground,1Z1A1V710398103086,3.19,11365,148.61,130.98
49610,2019-08-20,2019-08-21,25.75,17.88,UPS/UPS 2nd Day Air,1Z1A1V710291812173,0.88,98118,62.73,36.98
49614,2019-08-20,2019-08-21,17.28,12,UPS/UPS Ground,1Z1A1V710394908278,2,90732,134.36,117.08
49615,2019-08-20,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,28655,25.89,21.99
49616,2019-08-20,2019-08-21,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97455441,1.19,20011,97.7,85.99
49617,2019-08-21,2019-08-21,16.69,11.59,UPS/UPS Ground,1Z1A1V710399549139,0.88,75208,89.78,73.09
49618,2019-08-21,2019-08-21,6,9.32,UPS/UPS SurePost Less than 1 lb,1Z1A1V71YN97852162,0.5,36092,35.99,29.99
49619,2019-08-21,2019-08-21,18.95,27.48,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97858748,12.44,83814,264.91,245.96
49620,2019-08-21,2019-08-21,10.84,7.53,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW94884126,1,8332,109.84,99
49634,2019-08-21,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.31,11385,29.88,25.98
49622,2019-08-21,2019-08-21,46.04,13.55,UPS/UPS Ground,1Z1A1V710392076322,12.81,7306,171.03,124.99
49623,2019-08-21,2019-08-21,28.37,19.7,UPS/UPS 3 Day Select,1Z1A1V711296524591,0.88,61016,101.46,73.09
49624,2019-08-21,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,30720,50.61,42.96
49625,2019-08-21,2019-08-21,21.1,14.65,UPS/UPS Ground,1Z1A1V710399342030,0.63,8089,90.1,69
49626,2019-08-21,2019-08-21,13.33,9.26,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW92796412,4.69,72703,122.69,109.36
49627,2019-08-21,2019-08-21,67.08,19.21,UPS/UPS Ground,1Z1A1V710399338303,14,98119,215.07,147.99
49628,2019-08-21,2019-08-21,13.33,8.94,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW94116572,4,70124,256.43,243.1
49629,2019-08-21,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,74120,45.88,41.98
49630,2019-08-21,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,87111,39.89,39.99
49631,2019-08-21,2019-08-21,12.87,8.94,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW98496235,1.31,84054,81.35,68.48
49632,2019-08-21,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.25,30901,29.77,23.07
49633,2019-08-21,2019-08-21,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,90247,33.98,30.08
